c_Pais,Descripcion,code,Formato de codigo postal,Formato de Registro de Identidad Tributaria,Validacion del Registro de Identidad Tributaria,Agrupaciones,entry_status,create_date,create_by,update_date,update_by
1,Afganistan,AFG,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
2,Islas Aland,ALA,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
3,Albania,ALB,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
4,Alemania,DEU,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
5,Andorra,AND,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
6,Angola,AGO,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
7,Anguila,AIA,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
8,Antartida,ATA,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
9,Antigua y Barbuda,ATG,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
10,Arabia Saudita,SAU,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
11,Argelia,DZA,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
12,Argentina,ARG,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
13,Armenia,ARM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
14,Aruba,ABW,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
15,Australia,AUS,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
16,Austria,AUT,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
17,Azerbaiyan,AZE,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
18,Bahamas (las),BHS,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
19,Banglades,BGD,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
20,Barbados,BRB,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
21,Barein,BHR,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
22,Belgica,BEL,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
23,Belice,BLZ,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
24,Benin,BEN,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
25,Bermudas,BMU,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
26,Bielorrusia,BLR,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
27,Myanmar,MMR,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
28,"Bolivia, Estado Plurinacional de",BOL,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
