Rango o Fijo,c_TasaOCuota_Valor mínimo,c_TasaOCuota_Valor máximo,Impuesto,Factor,Traslado,Retención,Fecha inicio de vigencia,Fecha fin de vigencia,entry_status,create_date,create_by,update_date,update_by
Fijo,,0,IVA,Tasa,Sí,No,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0.16,IVA,Tasa,Sí,No,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Rango,0,0.16,IVA,Tasa,No,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0.08,IVA Crédito aplicado del 50%,Tasa,Sí,No,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0.265,IEPS,Tasa,Sí,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0.3,IEPS,Tasa,Sí,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0.53,IEPS,Tasa,Sí,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0.5,IEPS,Tasa,Sí,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,1.6,IEPS,Tasa,Sí,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0.304,IEPS,Tasa,Sí,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0.25,IEPS,Tasa,Sí,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0.09,IEPS,Tasa,Sí,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0.08,IEPS,Tasa,Sí,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0.07,IEPS,Tasa,Sí,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0.06,IEPS,Tasa,Sí,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0.03,IEPS,Tasa,Sí,No,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Fijo,,0,IEPS,Tasa,Sí,No,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Rango,0,59.1449,IEPS,Cuota,Sí,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
Rango,0,0.35,ISR,Tasa,No,Sí,01/01/2022,,0,09/02/2023,2309150001,09/02/2023,2309150001
