t_privilege,short_description,Grant Table Column,Context,entry_status,create_date,create_by,update_date,update_by
1,ALL PRIVILEGES,All privileges,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
2,ALTER,Alter_priv,Tables,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
3,ALTER ROUTINE,Alter_routine_priv,Stored routines,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4,CREATE,Create_priv,"Databases, tables, or indexes",0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
5,CREATE ROLE,Create_role_priv,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
6,CREATE ROUTINE,Create_routine_priv,Stored routines,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
7,CREATE TABLESPACE,Create_tablespace_priv,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
8,CREATE TEMPORARY TABLES,Create_tmp_table_priv,Tables,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
9,CREATE USER,Create_user_priv,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
10,CREATE VIEW,Create_view_priv,Views,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
11,DELETE,Delete_priv,Tables,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
12,DROP,Drop_priv,"Databases, tables, or views",0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
13,DROP ROLE,Drop_role_priv,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
14,EVENT,Event_priv,Databases,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
15,EXECUTE,Execute_priv,Stored routines,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
16,FILE,File_priv,File access on server host,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
17,GRANT OPTION,Grant_priv,"Databases, tables, or stored routines",0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
18,INDEX,Index_priv,Tables,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
19,INSERT,Insert_priv,Tables or columns,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
20,LOCK TABLES,Lock_tables_priv,Databases,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
21,PROCESS,Process_priv,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
22,PROXY,SeeÂ proxies_privÂ table,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
23,REFERENCES,References_priv,Databases or tables,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
24,RELOAD,Reload_priv,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
25,REPLICATION CLIENT,Repl_client_priv,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
26,REPLICATION SLAVE,Repl_slave_priv,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
27,SELECT,Select_priv,Tables or columns,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
28,SHOW DATABASES,Show_db_priv,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
29,SHOW VIEW,Show_view_priv,Views,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
30,SHUTDOWN,Shutdown_priv,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
31,SUPER,Super_priv,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
32,TRIGGER,Trigger_priv,Tables,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
33,UPDATE,Update_priv,Tables or columns,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
34,USAGE,No privileges,Server administration,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
