t_subregion,short_description,t_region,entry_status,create_date,create_by,update_date,update_by
1,Southern Asia,Asia,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
2,Northern Europe,Europe,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
3,Southern Europe,Europe,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4,Northern Africa,Africa,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
5,Polynesia,Oceania,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
6,Middle Africa,Africa,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
7,Caribbean,America,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
8,Antarctica,America,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
9,South America,America,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
10,Western Asia,Asia,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
11,Australia and New Zealand,Oceania,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
12,Western Europe,Europe,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
13,Eastern Europe,Europe,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
14,Central America,America,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
15,Western Africa,Africa,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
16,Northern America,America,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
17,Southern Africa,Africa,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
18,Eastern Africa,Africa,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
19,South-Eastern Asia,Asia,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
20,Eastern Asia,Asia,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
21,Melanesia,Oceania,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
22,Micronesia,Oceania,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
23,Central Asia,Asia,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
