t_workorder_flag,description,entry_status,create_date,create_by,update_date,update_by
1,CREATE,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
2,HOSTED,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
3,DELETE,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
4,DELETED,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
5,EXPORT,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
6,EXPORTED,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
7,IMPORT,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
8,IMPORTED,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
9,MIGRATE,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
10,MIGRATED,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
